side,start_t,end_t,duration_s,start_tick,end_tick,target,regime_start,regime_count,first_build_t,first_clear_t,first_accept_t,first_extend_t,committed_t,regime_clear_t,max_reload_count,max_depletion,max_build_score,max_pressure,min_failure_risk,micro_min,micro_max,max_tests,max_defense,max_disappearance,max_age_s,strong_near_count,end_spot,mfe_30s,mae_30s,mfe_60s,mae_60s,mfe_120s,mae_120s,mfe_300s,mae_300s,mfe_600s,mae_600s
LONG,1787209200.36,1787209432.11,231.75,1,463,24295.0,0,35,1787209200.36,1787209214.358,,,1787209214.358,1787209214.358,5.0,0.7297297297297297,58.1,0.5509534534534091,100,-0.67,0.62,316.0,276.0,8.0,231.8,0,24281.5,5.349999999998545,-1.75,5.349999999998545,-1.75,5.349999999998545,-1.75,5.349999999998545,-2.5,16.700000000000728,-2.5
LONG,1787209440.107,1787209513.362,73.25499987602234,479,623,24295.0,39,14,1787209440.107,1787209440.107,,,1787209440.107,1787209440.107,7.0,0.6292372881355932,54.3,0.4295400663821951,100,-0.62,0.58,383.0,343.0,15.0,313.0,0,24281.95,3.149999999997817,-2.650000000001455,3.149999999997817,-2.650000000001455,3.899999999997817,-2.650000000001455,9.399999999997817,-2.650000000001455,18.599999999998545,-2.650000000001455
LONG,1787209526.359,1787210258.641,732.2820000648499,649,2103,24295.0,62,38,1787209526.359,1787209526.359,1787209800.612,1787210245.172,1787209526.359,1787209526.359,11.0,1.0,81.6,0.8438340383889658,100,-0.86,0.76,1759.0,1430.0,20.0,1058.3,877,24311.6,-25.75,-30.549999999999272,-24.25,-30.549999999999272,-24.19999999999709,-30.549999999999272,-13.0,-30.599999999998545,-10.649999999997817,-30.599999999998545
LONG,1787210258.759,1787210848.622,589.8629999160767,2104,3273,24295.0,100,66,1787210260.221,1787210258.759,1787210258.759,1787210305.639,1787210258.759,1787210258.759,33.0,1.0,75.9,0.8485875706228357,100,-0.89,0.84,1759.0,1430.0,36.0,1059.8,618,24327.0,-1.25,-14.450000000000728,7.150000000001455,-14.450000000000728,7.25,-14.450000000000728,28.25,-14.450000000000728,28.25,-14.450000000000728
LONG,1787210856.122,1787211038.872,182.75,3288,3649,24345.0,65,33,1787210856.122,1787210856.122,1787210856.122,,1787210856.122,1787210856.122,44.0,0.9679715302491104,71.6,0.7177362816053158,100,-0.94,0.67,874.0,759.0,53.0,609.0,0,24326.8,8.600000000002183,2.2999999999992724,10.700000000000728,2.100000000002183,10.700000000000728,1.75,10.700000000000728,-4.149999999997817,10.700000000000728,-4.149999999997817
LONG,1787211133.122,1787211192.122,59.0,3837,3955,24345.0,244,14,1787211133.122,1787211133.122,1787211133.122,,1787211133.122,1787211133.122,50.0,0.889967637540453,53.3,0.458716289104688,100,-0.5,0.53,940.0,825.0,60.0,762.3,0,24329.25,6.75,0.5,6.75,-1.0499999999992724,6.75,-1.0499999999992724,6.75,-6.200000000000728,6.75,-6.200000000000728
LONG,1787211196.122,1787211204.623,8.500999927520752,3963,3980,24345.0,261,3,1787211196.122,1787211196.122,1787211196.122,,1787211196.122,1787211196.122,51.0,0.7605177993527508,45.6,0.2254435888851637,100,-0.36,0.38,941.0,826.0,63.0,774.8,0,24330.8,3.25,-1.7999999999992724,3.25,-2.5499999999992724,3.25,-7.75,3.5499999999992724,-7.75,4.25,-7.75
LONG,1787211206.123,1787211256.123,50.0,3983,4083,24345.0,263,12,1787211206.123,1787211206.123,1787211206.123,,1787211206.123,1787211206.123,57.0,0.7022653721682848,60.3,0.6685030480920879,100,-0.78,0.71,973.0,858.0,71.0,826.3,0,24328.15,5.899999999997817,1.5499999999992724,5.899999999997817,0.0,5.899999999997817,-5.100000000002183,6.19999999999709,-5.100000000002183,6.899999999997817,-5.100000000002183
SHORT,1787209203.858,1787209289.108,85.25,8,178,24270.0,1,21,1787209204.36,1787209261.112,,,1787209261.112,1787209261.112,9.0,0.6595174262734584,58.0,0.5770359342393157,100,-0.62,0.67,75.0,75.0,10.0,88.7,0,24284.25,4.5,-0.2999999999992724,4.5,-0.7999999999992724,4.5,-1.4500000000007276,5.25,-2.4500000000007276,5.25,-14.200000000000728
SHORT,1787209292.109,1787209361.109,69.0,184,322,24270.0,22,30,1787209292.109,1787209292.109,,,1787209292.109,1787209292.109,12.0,0.96514745308311,61.8,0.6336589423017506,100,-0.61,0.53,103.0,103.0,14.0,160.7,0,24283.5,2.7000000000007276,-2.2000000000007276,2.7000000000007276,-3.2000000000007276,2.7000000000007276,-3.2000000000007276,4.5,-3.900000000001455,4.5,-16.950000000000728
SHORT,1787209361.611,1787209371.607,9.996000051498413,323,343,24270.0,52,5,1787209361.611,1787209361.611,,,1787209361.611,1787209361.611,12.0,0.9544235924932976,55.3,0.5641927582024366,100,-0.57,0.21,106.0,106.0,14.0,171.2,0,24284.9,3.650000000001455,-0.75,3.7000000000007276,-0.75,5.900000000001455,-0.75,5.900000000001455,-2.5,5.900000000001455,-15.649999999997817
SHORT,1787209386.61,1787209396.609,9.999000072479248,373,393,24270.0,85,3,1787209387.107,1787209386.61,,,1787209386.61,1787209386.61,13.0,0.8498659517426274,62.2,0.5416338676249576,100,-0.54,0.67,108.0,108.0,14.0,196.2,0,24282.8,1.5999999999985448,-2.2000000000007276,3.7999999999992724,-2.2999999999992724,3.7999999999992724,-2.2999999999992724,3.7999999999992724,-4.600000000002183,3.7999999999992724,-17.75
SHORT,1787209397.605,1787209552.86,155.25499987602234,395,702,24270.0,89,39,1787209397.605,1787209397.605,,,1787209397.605,1787209397.605,27.0,0.9269521410579346,59.8,0.5660252778584162,100,-0.75,0.62,275.0,275.0,28.0,352.5,0,24284.1,4.549999999999272,-0.3000000000029104,5.099999999998545,-1.0,5.099999999998545,-1.0,5.099999999998545,-3.3000000000029104,5.099999999998545,-16.450000000000728
SHORT,1787209553.358,1787209568.36,15.001999855041504,703,733,24270.0,128,3,1787209553.358,1787209553.358,,,1787209553.358,1787209553.358,28.0,0.9420654911838792,62.3,0.5765382031906129,100,-0.76,0.42,280.0,280.0,30.0,368.0,0,24283.85,2.7999999999992724,-3.5,2.7999999999992724,-3.5500000000029104,2.849999999998545,-3.5500000000029104,2.849999999998545,-16.600000000002183,2.849999999998545,-17.25
SHORT,1787209570.863,1787209579.861,8.998000144958496,738,756,24270.0,130,6,1787209570.863,1787209570.863,,,1787209570.863,1787209570.863,28.0,1.0,55.5,0.5476679672708232,100,-0.46,0.35,282.0,282.0,30.0,379.5,0,24285.25,3.9500000000007276,-2.150000000001455,3.9500000000007276,-2.150000000001455,4.25,-2.150000000001455,4.25,-15.200000000000728,4.25,-17.700000000000728
SHORT,1787209617.86,1787209627.862,10.002000093460083,831,851,24270.0,210,3,1787209617.86,1787209617.86,,,1787209617.86,1787209617.86,29.0,0.5944584382871536,56.8,0.4762716431797074,100,-0.29,0.6,283.0,283.0,31.0,427.5,0,24283.8,2.25,-1.7000000000007276,2.7999999999992724,-2.25,2.7999999999992724,-7.549999999999272,2.7999999999992724,-16.75,2.7999999999992724,-19.950000000000728
SHORT,1787209633.363,1787209663.36,29.996999979019165,862,922,24270.0,213,7,1787209633.363,1787209633.363,,,1787209633.363,1787209633.363,30.0,0.8337531486146096,58.4,0.5595880085490491,100,-0.65,0.48,295.0,295.0,32.0,463.0,0,24283.1,1.6999999999970896,-2.8000000000029104,2.099999999998545,-3.850000000002183,2.099999999998545,-8.25,2.099999999998545,-17.450000000000728,2.099999999998545,-21.400000000001455
