node_id,side,target,start,end,event_count,depletions,reloads,defenses,clearances,acceptances,prev_end,path_break,path_num,path_id
SHORT_242800_001,SHORT,24280.0,2026-08-21 09:06:47.740999937+05:30,2026-08-21 09:06:47.740999937+05:30,1,1,0,0,0,0,,True,1,SHORT_P1
SHORT_242800_002,SHORT,24280.0,2026-08-21 09:14:43.739000082+05:30,2026-08-21 09:14:45.237999916+05:30,2,1,1,0,0,0,2026-08-21 09:06:47.740999937+05:30,True,2,SHORT_P2
LONG_243200_001,LONG,24320.0,2026-08-21 09:14:44.239000082+05:30,2026-08-21 09:16:21.989000082+05:30,27,14,10,1,1,1,,True,1,LONG_P1
SHORT_243150_001,SHORT,24315.0,2026-08-21 09:14:51.739000082+05:30,2026-08-21 09:15:43.987999916+05:30,12,5,4,1,1,1,2026-08-21 09:14:45.237999916+05:30,False,2,SHORT_P2
LONG_243050_001,LONG,24305.0,2026-08-21 09:17:14.987999916+05:30,2026-08-21 09:20:20.739000082+05:30,8,4,2,1,1,0,2026-08-21 09:16:21.989000082+05:30,False,1,LONG_P1
SHORT_242850_001,SHORT,24285.0,2026-08-21 09:20:23.740000010+05:30,2026-08-21 09:20:40.341000080+05:30,10,4,3,1,1,1,2026-08-21 09:15:43.987999916+05:30,True,3,SHORT_P3
LONG_242850_001,LONG,24285.0,2026-08-21 09:23:06.989000082+05:30,2026-08-21 09:32:45.990999937+05:30,47,23,22,1,1,0,2026-08-21 09:20:20.739000082+05:30,False,1,LONG_P1
SHORT_242600_001,SHORT,24260.0,2026-08-21 09:32:55.990999937+05:30,2026-08-21 09:35:31.242000103+05:30,14,6,4,1,2,1,2026-08-21 09:20:40.341000080+05:30,True,4,SHORT_P4
SHORT_242750_001,SHORT,24275.0,2026-08-21 09:33:20.490000010+05:30,2026-08-21 09:33:22.990999937+05:30,2,0,0,0,1,1,2026-08-21 09:35:31.242000103+05:30,False,4,SHORT_P4
LONG_242850_002,LONG,24285.0,2026-08-21 09:36:01.240999937+05:30,2026-08-21 09:38:57.990999937+05:30,11,7,4,0,0,0,2026-08-21 09:32:45.990999937+05:30,True,2,LONG_P2
SHORT_242600_002,SHORT,24260.0,2026-08-21 09:37:33.993000031+05:30,2026-08-21 09:38:39.499000072+05:30,6,3,3,0,0,0,2026-08-21 09:33:22.990999937+05:30,True,5,SHORT_P5
