session,side,target,start_ts,end_ts,completion_ts,completion_type,n_ticks,max_reload,max_defense,regime_clear_count,regime_count,node_sequence,footprint,completion_spot,mfe_600,mae_600,censored,own_micro,opp_micro,micro_sep,opp_accepted,opp_entry_ready,opp_build,own_build,opp_failure,own_failure,opp_phase
20260820,LONG,24255.0,1787197775.829,1787198697.331,1787197896.08,ACCEPTED,1813,5,80,0,40,BUILDING > WATCH > BUILDING > WATCH > BUILDING > CLEARING > WATCH > BUILDING > WATCH > BUILDING > WATCH > CLEARING > WATCH > CLEARING > WATCH > CLEARING > WATCH > CLEARING > WATCH > CLEARING > WATCH > CLEARING > WATCH > CLEARING > WATCH > CLEARING > RELOAD > DEFENSE > CLEARING > RELOAD > DEFENSE > BUILDING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > BUILDING > RELOAD > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > RELOAD > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > DEFENSE > ACCEPTED,N4_REPEATED_RELOAD_DEFENSE,24261.05,0.7000000000007276,-15.849999999998545,False,0.21,-0.21,0.42,True,False,39.9,55.2,85.0,40.6,BUILDING
20260820,LONG,24265.0,1787198697.83,1787200843.838,1787198706.331,ACCEPTED,4238,4,14,0,3,BUILDING > RELOAD > DEFENSE > RELOAD > DEFENSE > RELOAD > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > ACCEPTED,N4_REPEATED_RELOAD_DEFENSE,24268.45,4.950000000000728,-13.350000000002185,False,-0.08,0.08,0.16,True,False,47.4,40.7,85.0,42.1,WATCH
20260820,LONG,24270.0,1787201806.088,1787202871.841,1787201807.088,ACCEPTED,2126,0,0,0,1,BUILDING > CLEARING > ACCEPTED,N1_DIRECT,24274.2,1.5999999999985448,-11.75,False,0.21,-0.21,0.42,False,False,37.3,43.6,43.2,10.0,BUILDING
20260820,LONG,24275.0,1787200844.336,1787201122.336,1787200855.336,ACCEPTED,551,2,16,0,3,BUILDING > RELOAD > DEFENSE > BUILDING > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > ACCEPTED,N4_REPEATED_RELOAD_DEFENSE,24279.4,8.149999999997817,-6.650000000001455,False,-0.47,0.47,0.94,False,False,26.4,41.4,0.0,55.8,WATCH
20260820,SHORT,24250.0,1787197564.946,1787200853.335,1787197773.83,ACCEPTED,6490,12,307,0,38,WATCH > BUILDING > CLEARING > WATCH > CLEARING > WATCH > CLEARING > WATCH > BUILDING > WATCH > CLEARING > WATCH > CLEARING > WATCH > BUILDING > CLEARING > RELOAD > DEFENSE > CLEARING > RELOAD > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > RELOAD > DEFENSE > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > ACCEPTED,N4_REPEATED_RELOAD_DEFENSE,24248.45,5.600000000002183,-13.299999999999272,False,0.6,-0.6,1.2,False,False,35.4,64.8,34.3,39.3,WATCH
20260820,SHORT,24265.0,1787200853.837,1787202871.841,1787202436.84,ACCEPTED,4022,75,1923,0,845,WATCH > BUILDING > WATCH > BUILDING > WATCH > CLEARING > WATCH > CLEARING > WATCH > CLEARING > WATCH > BUILDING > WATCH > BUILDING > WATCH > BUILDING > RELOAD > DEFENSE > WATCH > RELOAD > WATCH > RELOAD > WATCH > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > RELOAD > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > RELOAD > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > RELOAD > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > RELOAD > BUILDING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > RELOAD > BUILDING > DEFENSE > WATCH > CLEARING > DEFENSE > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > RELOAD > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > RELOAD > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > RELOAD > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > BUILDING > RELOAD > DEFENSE > WATCH > RELOAD > WATCH > BUILDING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > RELOAD > WATCH > RELOAD > BUILDING > DEFENSE > BUILDING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > CLEARING > DEFENSE > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > BUILDING > DEFENSE > RELOAD > DEFENSE > BUILDING > DEFENSE > RELOAD > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > RELOAD > DEFENSE > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > RELOAD > CLEARING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > RELOAD > DEFENSE > WATCH > RELOAD > BUILDING > DEFENSE > BUILDING > RELOAD > DEFENSE > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > DEFENSE > WATCH > RELOAD > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > DEFENSE > WATCH > RELOAD > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > RELOAD > WATCH > CLEARING > DEFENSE > WATCH > RELOAD > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > BUILDING > RELOAD > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > RELOAD > DEFENSE > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > RELOAD > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > RELOAD > DEFENSE > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > RELOAD > DEFENSE > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > WATCH > RELOAD > BUILDING > DEFENSE > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > BUILDING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > BUILDING > DEFENSE > BUILDING > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > BUILDING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > RELOAD > DEFENSE > BUILDING > DEFENSE > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > ACCEPTED,N4_REPEATED_RELOAD_DEFENSE,24259.9,1.7000000000007276,-15.44999999999709,True,-0.31,0.31,0.62,True,False,48.3,47.4,85.0,50.5,BUILDING
20260821,LONG,24285.0,1787284350.738,1787286267.495,1787285545.744,ACCEPTED,3791,37,1336,0,681,BUILDING > WATCH > BUILDING > RELOAD > DEFENSE > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > BUILDING > DEFENSE > RELOAD > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > BUILDING > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > BUILDING > DEFENSE > BUILDING > RELOAD > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > CLEARING > RELOAD > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > RELOAD > DEFENSE > RELOAD > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > WATCH > BUILDING > DEFENSE > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > BUILDING > DEFENSE > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > RELOAD > WATCH > RELOAD > WATCH > CLEARING > DEFENSE > WATCH > RELOAD > WATCH > RELOAD > WATCH > RELOAD > WATCH > RELOAD > WATCH > RELOAD > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > WATCH > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > RELOAD > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > CLEARING > DEFENSE > ACCEPTED,N4_REPEATED_RELOAD_DEFENSE,24288.65,7.099999999998545,-7.350000000002183,False,0.25,-0.25,0.5,False,False,51.6,56.3,63.0,39.7,WATCH
20260821,LONG,24290.0,1787286353.495,1787288333.496,1787286361.744,ACCEPTED,3940,0,0,0,1,BUILDING > CLEARING > ACCEPTED,N1_DIRECT,24293.75,5.25,-14.700000000000728,False,-0.02,0.02,0.04,True,False,63.4,42.3,85.0,10.5,CLEARING
20260821,LONG,24300.0,1787291440.507,1787292020.756,1787291450.006,ACCEPTED,1156,0,0,0,1,BUILDING > CLEARING > ACCEPTED,N1_DIRECT,24303.25,12.75,-3.450000000000728,False,-0.12,0.12,0.24,False,False,51.6,41.8,29.9,12.4,CLEARING
20260821,LONG,24300.0,1787292604.866,1787292924.324,1787292625.821,ACCEPTED,639,0,0,0,3,BUILDING > CLEARING > ACCEPTED,N1_DIRECT,24303.35,4.350000000002183,-8.599999999998545,False,0.4,-0.4,0.8,False,False,43.7,58.4,53.0,10.0,BUILDING
